alpha,beta,ef,refine_runs,time_v2,time_v3,speedup_raw,speedup_drift_corrected,recall_v2,recall_v3,qps_v2,qps_v3
0.75,5,10,1,0.040639,0.039621,1.0257,1.0296,0.927289,0.925782,84943.04,87125.51
0.75,5,20,1,0.040366,0.039505,1.0218,1.0257,0.927289,0.925782,85517.51,87381.34
0.75,5,50,1,0.040439,0.039423,1.0258,1.0297,0.927289,0.925782,85363.14,87563.10
0.75,5,100,1,0.069292,0.069541,0.9964,1.0002,0.956315,0.954316,49818.16,49639.78
0.75,5,200,1,0.121872,0.123211,0.9891,0.9929,0.972538,0.972306,28324.80,28016.98
0.75,5,400,1,0.221395,0.226026,0.9795,0.9833,0.980301,0.980301,15592.04,15272.58
0.75,5,800,1,0.417249,0.426994,0.9772,0.9809,0.985226,0.985197,8273.24,8084.42
0.75,5,1600,1,0.801310,0.819256,0.9781,0.9818,0.988384,0.988586,4307.95,4213.58
0.75,5,3200,1,1.509825,1.544545,0.9775,0.9813,0.990585,0.990788,2286.36,2234.96
0.75,6,10,1,0.046949,0.046055,1.0194,1.0233,0.936877,0.936964,73526.59,74953.86
0.75,6,20,1,0.046761,0.045923,1.0182,1.0221,0.936877,0.936964,73822.20,75169.31
0.75,6,50,1,0.046697,0.045717,1.0214,1.0253,0.936877,0.936964,73923.38,75508.02
0.75,6,100,1,0.069369,0.069988,0.9912,0.9949,0.955823,0.957126,49762.86,49322.74
0.75,6,200,1,0.121686,0.123786,0.9830,0.9868,0.973552,0.975087,28368.09,27886.84
0.75,6,400,1,0.221344,0.226090,0.9790,0.9827,0.981518,0.982039,15595.63,15268.26
0.75,6,800,1,0.417223,0.428499,0.9737,0.9774,0.986414,0.986530,8273.75,8056.03
0.75,6,1600,1,0.802779,0.819970,0.9790,0.9828,0.989919,0.989948,4300.06,4209.91
0.75,6,3200,1,1.512753,1.546738,0.9780,0.9818,0.992005,0.992121,2281.93,2231.79
0.75,7,10,1,0.053250,0.052280,1.0186,1.0224,0.944438,0.944467,64826.29,66029.07
0.75,7,20,1,0.053177,0.052264,1.0175,1.0214,0.944438,0.944467,64915.28,66049.29
0.75,7,50,1,0.053256,0.052263,1.0190,1.0229,0.944438,0.944467,64818.99,66050.55
0.75,7,100,1,0.070102,0.069720,1.0055,1.0093,0.955939,0.956518,49242.53,49512.34
0.75,7,200,1,0.122720,0.123470,0.9939,0.9977,0.974073,0.974710,28129.07,27958.21
0.75,7,400,1,0.221473,0.224534,0.9864,0.9901,0.981808,0.982184,15586.55,15374.06
0.75,7,800,1,0.417916,0.426008,0.9810,0.9847,0.986935,0.986848,8260.03,8103.13
0.75,7,1600,1,0.801288,0.818064,0.9795,0.9832,0.990295,0.990324,4308.06,4219.72
0.75,7,3200,1,1.510051,1.540468,0.9803,0.9840,0.992700,0.992613,2286.02,2240.88
0.75,8,10,1,0.059345,0.058392,1.0163,1.0202,0.948725,0.948610,58168.34,59117.69
0.75,8,20,1,0.059207,0.058543,1.0113,1.0152,0.948725,0.948610,58303.92,58965.21
0.75,8,50,1,0.059182,0.058490,1.0118,1.0157,0.948725,0.948610,58328.55,59018.64
0.75,8,100,1,0.070434,0.070261,1.0025,1.0063,0.957387,0.957619,49010.42,49131.10
0.75,8,200,1,0.122831,0.123891,0.9914,0.9952,0.975174,0.974594,28103.65,27863.20
0.75,8,400,1,0.222491,0.226967,0.9803,0.9840,0.982706,0.982793,15515.23,15209.26
0.75,8,800,1,0.419023,0.428978,0.9768,0.9805,0.987659,0.987688,8238.21,8047.03
0.75,8,1600,1,0.803025,0.821997,0.9769,0.9806,0.991338,0.990904,4298.75,4199.53
0.75,8,3200,1,1.515439,1.546818,0.9797,0.9835,0.993308,0.993279,2277.89,2231.68
0.8,1,10,0,0.012403,0.012555,0.9879,0.9917,0.680533,0.685284,278319.76,274950.22
0.8,1,20,0,0.020605,0.020725,0.9942,0.9980,0.766802,0.765643,167532.15,166562.12
0.8,1,50,0,0.042453,0.042706,0.9941,0.9979,0.823291,0.822538,81313.45,80831.73
0.8,1,100,0,0.075160,0.075202,0.9994,1.0033,0.847132,0.847943,45928.69,45903.03
0.8,1,200,0,0.132972,0.133199,0.9983,1.0021,0.863152,0.862746,25960.35,25916.11
0.8,1,400,0,0.244416,0.244575,0.9993,1.0032,0.869003,0.868714,14123.46,14114.28
0.8,1,800,0,0.464148,0.465660,0.9968,1.0006,0.871524,0.871437,7437.28,7413.13
0.8,1,1600,0,0.893623,0.897548,0.9956,0.9994,0.873088,0.873146,3862.93,3846.03
0.8,1,3200,0,1.681526,1.693937,0.9927,0.9965,0.874102,0.874160,2052.90,2037.86
0.8,2,10,1,0.022208,0.021519,1.0320,1.0360,0.840585,0.839455,155439.48,160416.38
0.8,2,20,1,0.021716,0.021027,1.0328,1.0367,0.840585,0.839455,158961.13,164169.88
0.8,2,50,1,0.044119,0.043259,1.0199,1.0238,0.915238,0.913673,78242.93,79798.42
0.8,2,100,1,0.076097,0.076307,0.9972,1.0011,0.945017,0.944959,45363.15,45238.31
0.8,2,200,1,0.134030,0.135503,0.9891,0.9929,0.963268,0.962486,25755.43,25475.45
0.8,2,400,1,0.245048,0.247012,0.9920,0.9958,0.970568,0.970307,14087.04,13975.03
0.8,2,800,1,0.463499,0.468828,0.9886,0.9924,0.974739,0.974392,7447.70,7363.04
0.8,2,1600,1,0.892544,0.902513,0.9890,0.9927,0.977375,0.977028,3867.60,3824.88
0.8,2,3200,1,1.682782,1.699421,0.9902,0.9940,0.979085,0.978679,2051.36,2031.28
0.8,3,10,1,0.030487,0.029777,1.0238,1.0278,0.886703,0.886587,113228.59,115928.40
0.8,3,20,1,0.030053,0.029205,1.0290,1.0330,0.886703,0.886587,114863.74,118198.94
0.8,3,50,1,0.044171,0.043567,1.0139,1.0177,0.922103,0.923783,78150.82,79234.28
0.8,3,100,1,0.076563,0.075844,1.0095,1.0133,0.952317,0.953216,45087.05,45514.48
0.8,3,200,1,0.134459,0.134521,0.9995,1.0034,0.972567,0.973059,25673.25,25661.42
0.8,3,400,1,0.245628,0.245365,1.0011,1.0049,0.980910,0.981286,14053.77,14068.84
0.8,3,800,1,0.465109,0.466672,0.9967,1.0005,0.985400,0.985197,7421.92,7397.06
0.8,3,1600,1,0.892165,0.899433,0.9919,0.9957,0.988181,0.987804,3869.24,3837.97
0.8,3,3200,1,1.680623,1.694148,0.9920,0.9958,0.990035,0.989629,2054.00,2037.60
0.8,4,10,1,0.038213,0.036990,1.0331,1.0370,0.910545,0.909299,90335.75,93322.52
0.8,4,20,1,0.037873,0.036585,1.0352,1.0392,0.910545,0.909299,91146.73,94355.61
0.8,4,50,1,0.044791,0.043969,1.0187,1.0226,0.924971,0.924710,77069.05,78509.86
0.8,4,100,1,0.076687,0.076275,1.0054,1.0092,0.956054,0.955012,45014.15,45257.29
0.8,4,200,1,0.134024,0.134524,0.9963,1.0001,0.974913,0.974913,25756.58,25660.85
0.8,4,400,1,0.245674,0.246030,0.9986,1.0024,0.983517,0.983430,14051.14,14030.81
0.8,4,800,1,0.462479,0.467370,0.9895,0.9933,0.987833,0.987601,7464.12,7386.01
0.8,4,1600,1,0.890596,0.899242,0.9904,0.9942,0.990527,0.990238,3876.06,3838.79
0.8,4,3200,1,1.680472,1.693624,0.9922,0.9960,0.992323,0.992207,2054.18,2038.23
0.8,5,10,1,0.045530,0.044505,1.0230,1.0269,0.926246,0.923957,75818.14,77564.32
0.8,5,20,1,0.045202,0.044086,1.0253,1.0292,0.926246,0.923957,76368.30,78301.50
0.8,5,50,1,0.045198,0.043989,1.0275,1.0314,0.926246,0.923957,76375.06,78474.16
0.8,5,100,1,0.076642,0.077011,0.9952,0.9990,0.955910,0.954809,45040.58,44824.77
0.8,5,200,1,0.134219,0.136247,0.9851,0.9889,0.974826,0.975869,25719.16,25336.34
0.8,5,400,1,0.242201,0.247654,0.9780,0.9817,0.983864,0.983922,14252.62,13938.80
0.8,5,800,1,0.457960,0.470011,0.9744,0.9781,0.988615,0.988384,7537.78,7344.51
0.8,5,1600,1,0.882692,0.903206,0.9773,0.9810,0.991396,0.991425,3910.76,3821.94
0.8,5,3200,1,1.669135,1.698164,0.9829,0.9867,0.993453,0.993366,2068.14,2032.78
0.8,6,10,1,0.052059,0.051443,1.0120,1.0158,0.934067,0.934907,66309.38,67103.40
0.8,6,20,1,0.052070,0.051396,1.0131,1.0170,0.934067,0.934907,66295.37,67164.76
0.8,6,50,1,0.052164,0.051207,1.0187,1.0226,0.934067,0.934907,66175.91,67412.66
0.8,6,100,1,0.077136,0.077508,0.9952,0.9990,0.955881,0.956344,44752.13,44537.34
0.8,6,200,1,0.134129,0.136090,0.9856,0.9894,0.976246,0.976448,25736.42,25365.57
0.8,6,400,1,0.243791,0.248032,0.9829,0.9867,0.984762,0.984676,14159.67,13917.56
0.8,6,800,1,0.459341,0.468849,0.9797,0.9835,0.988818,0.988963,7515.11,7362.71
0.8,6,1600,1,0.885706,0.902863,0.9810,0.9847,0.991860,0.991657,3897.46,3823.39
0.8,6,3200,1,1.670995,1.696080,0.9852,0.9890,0.993714,0.993540,2065.84,2035.28
0.8,7,10,1,0.059065,0.058507,1.0095,1.0134,0.943019,0.943221,58444.09,59001.49
0.8,7,20,1,0.059144,0.058480,1.0114,1.0152,0.943019,0.943221,58366.02,59028.73
0.8,7,50,1,0.059177,0.058548,1.0107,1.0146,0.943019,0.943221,58333.47,58960.17
0.8,7,100,1,0.077808,0.077494,1.0041,1.0079,0.957039,0.957010,44365.62,44545.38
0.8,7,200,1,0.135708,0.136478,0.9944,0.9982,0.976304,0.975956,25436.97,25293.45
0.8,7,400,1,0.245539,0.248376,0.9886,0.9924,0.984733,0.984676,14058.87,13898.28
0.8,7,800,1,0.461615,0.468891,0.9845,0.9882,0.989079,0.989195,7478.09,7362.05
0.8,7,1600,1,0.891921,0.900752,0.9902,0.9940,0.991947,0.992121,3870.30,3832.35
0.8,7,3200,1,1.679725,1.696103,0.9903,0.9941,0.993946,0.994061,2055.10,2035.25
0.8,8,10,1,0.065346,0.064551,1.0123,1.0162,0.950435,0.949160,52826.49,53477.10
0.8,8,20,1,0.065582,0.064820,1.0118,1.0156,0.950435,0.949160,52636.39,53255.17
0.8,8,50,1,0.065612,0.065039,1.0088,1.0127,0.950435,0.949160,52612.33,53075.85
0.8,8,100,1,0.078041,0.077269,1.0100,1.0138,0.957010,0.956721,44233.16,44675.10
0.8,8,200,1,0.135023,0.135917,0.9934,0.9972,0.976709,0.975637,25566.01,25397.85
0.8,8,400,1,0.244968,0.247449,0.9900,0.9938,0.985110,0.985052,14091.64,13950.35
0.8,8,800,1,0.461621,0.469083,0.9841,0.9878,0.989340,0.989426,7478.00,7359.04
0.8,8,1600,1,0.888917,0.900599,0.9870,0.9908,0.992439,0.992265,3883.38,3833.00
0.8,8,3200,1,1.670619,1.690541,0.9882,0.9920,0.994409,0.994438,2066.30,2041.95
0.85,5,10,1,0.050371,0.049572,1.0161,1.0200,0.925927,0.924884,68531.50,69636.08
0.85,5,20,1,0.050285,0.049545,1.0149,1.0188,0.925927,0.924884,68648.70,69674.03
0.85,5,50,1,0.050362,0.049420,1.0191,1.0230,0.925927,0.924884,68543.74,69850.26
0.85,5,100,1,0.084689,0.084188,1.0060,1.0098,0.955388,0.954693,40760.90,41003.47
0.85,5,200,1,0.146249,0.146555,0.9979,1.0017,0.973870,0.973407,23603.58,23554.30
0.85,5,400,1,0.265629,0.266215,0.9978,1.0016,0.983691,0.983401,12995.57,12966.96
0.85,5,800,1,0.505126,0.505576,0.9991,1.0029,0.989629,0.989224,6833.94,6827.86
0.85,5,1600,1,0.971053,0.975184,0.9958,0.9996,0.992700,0.992787,3554.90,3539.84
